year,age,tm,pos,no.,games_g,games_gs,0-19_fga,0-19_fgm,20-29_fga,20-29_fgm,30-39_fga,30-39_fgm,40-49_fga,40-49_fgm,50+_fga,50+_fgm,scoring_fga,scoring_fgm,lng,scoring_fg%,scoring_xpa,scoring_xpm,scoring_xp%,kickoffs_ko,kickoffs_koyds,kickoffs_tb,kickoffs_tb%,kickoffs_koavg,name,link,playoff_stat,av,tot_fga,tot_fgm,tot_lng,fg%,pat_xpa,pat_xpm,xp%,awards
2023.0,29,ATL,P,13.0,17,0.0,,,,,,,,,,,,,,,,,,76.0,4936.0,64.0,84.2%,64.9,Bradley Pinion,https://www.pro-football-reference.com/players/P/PiniBr00.htm,False,2.0,,,0.0,,,,,
2024.0,30,ATL,P,13.0,2,0.0,,,,,,,,,,,,,,,,,,9.0,579.0,8.0,88.9%,64.3,Bradley Pinion,https://www.pro-football-reference.com/players/P/PiniBr00.htm,False,,,,0.0,,,,,
2019.0,27,SFO,P,6.0,16,0.0,,,,,,,,,,,,,,,,,,96.0,6105.0,49.0,51.0%,63.6,Mitch Wishnowsky,https://www.pro-football-reference.com/players/W/WishMi00.htm,False,,,,,,,,,
2020.0,28,SFO,P,6.0,16,0.0,,,,,,,,,,,,,,,,,,67.0,4229.0,42.0,62.7%,63.1,Mitch Wishnowsky,https://www.pro-football-reference.com/players/W/WishMi00.htm,False,,,,,,,,,
2021.0,29,SFO,P,18.0,17,0.0,,,,,,,1.0,,,,1.0,,0.0,0.0%,2.0,1.0,50.0%,56.0,3487.0,21.0,37.5%,62.3,Mitch Wishnowsky,https://www.pro-football-reference.com/players/W/WishMi00.htm,False,,,,,,,,,
2022.0,30,SFO,P,18.0,17,0.0,,,,,,,,,,,,,0.0,,2.0,1.0,50.0%,4.0,240.0,,,60.0,Mitch Wishnowsky,https://www.pro-football-reference.com/players/W/WishMi00.htm,False,,,,,,,,,
2023.0,31,SFO,P,18.0,17,0.0,,,,,,,,,,,,,0.0,,,,,7.0,451.0,4.0,57.1%,64.4,Mitch Wishnowsky,https://www.pro-football-reference.com/players/W/WishMi00.htm,False,,,,,,,,,
2024.0,32,SFO,P,3.0,2,0.0,,,,,,,,,,,,,0.0,,,,,1.0,7.0,,,7.0,Mitch Wishnowsky,https://www.pro-football-reference.com/players/W/WishMi00.htm,False,,,,,,,,,
2021.0,29,PHI,P,8.0,17,0.0,,,,,,,,,,,,,0.0,,,,,1.0,58.0,,,58.0,Arryn Siposs,https://www.pro-football-reference.com/players/S/SipoAr01.htm,False,,,,,,,,,
2022.0,30,PHI,P,8.0,13,0.0,,,,,,,,,,,,,0.0,,,,,1.0,70.0,,,70.0,Arryn Siposs,https://www.pro-football-reference.com/players/S/SipoAr01.htm,False,,,,,,,,,
2014.0,24,NYJ,P,4.0,16,0.0,,,,,,,,,,,,,,,,,,5.0,315.0,,,63.0,Ryan Quigley,https://www.pro-football-reference.com/players/Q/QuigRy00.htm,False,,,,,,,,,
2015.0,25,NYJ,P,4.0,15,0.0,,,,,,,,,,,,,,,4.0,4.0,100.0%,5.0,337.0,1.0,20.0%,67.4,Ryan Quigley,https://www.pro-football-reference.com/players/Q/QuigRy00.htm,False,,,,,,,,,
2017.0,27,MIN,P,4.0,16,0.0,,,,,,,,,,,,,,,,,,1.0,51.0,,,51.0,Ryan Quigley,https://www.pro-football-reference.com/players/Q/QuigRy00.htm,False,,,,,,,,,
2020.0,24,PIT,K,16.0,3,0.0,,,1.0,1.0,1.0,1.0,2.0,2.0,,,4.0,4.0,46.0,100.0%,7.0,7.0,100.0%,15.0,869.0,1.0,6.7%,57.9,Matthew Wright,https://www.pro-football-reference.com/players/W/WrigMa00.htm,False,1.0,,,,,,,,
2021.0,25,JAX,K,15.0,14,0.0,,,7.0,7.0,7.0,7.0,4.0,3.0,6.0,4.0,24.0,21.0,56.0,87.5%,15.0,13.0,86.7%,31.0,1883.0,6.0,19.4%,60.7,Matthew Wright,https://www.pro-football-reference.com/players/W/WrigMa00.htm,False,3.0,,,,,,,,
2022.0,26,2TM,K,,6,0.0,,,1.0,1.0,7.0,6.0,8.0,6.0,2.0,2.0,18.0,15.0,59.0,83.3%,15.0,15.0,100.0%,36.0,2244.0,15.0,41.7%,62.3,Matthew Wright,https://www.pro-football-reference.com/players/W/WrigMa00.htm,False,1.0,,,,,,,,
