player_id,team_id,name,year,age,team,pos,no.,games_g,games_gs,punting_pnt,punting_yds,punting_y/p,punting_retyds,punting_net,punting_ny/p,punting_lng,punting_tb,punting_tb%,punting_in20,punting_in20%,punting_blck,av,playoff_stat,punting_netyds,punting_pnt20,awards
ZastDa20,rav,Dave Zastudil,2002.0,24,BAL,P,15.0,16.0,0.0,81,3368,41.6,471.0,2797.0,33.7,61,5.0,6.2%,31.0,38.3%,2,2.0,False,,,
ZastDa20,rav,Dave Zastudil,2003.0,25,BAL,P,15.0,16.0,0.0,89,3649,41.0,354.0,3135.0,35.2,67,8.0,9.0%,21.0,23.6%,0,2.0,False,,,
ZastDa20,rav,Dave Zastudil,2004.0,26,BAL,P,15.0,13.0,0.0,73,2948,40.4,181.0,2527.0,34.6,61,12.0,16.4%,26.0,35.6%,0,1.0,False,,,
ZastDa20,rav,Dave Zastudil,2005.0,27,BAL,P,15.0,16.0,0.0,84,3653,43.5,481.0,3032.0,35.7,60,7.0,8.3%,11.0,13.1%,1,2.0,False,,,
TownJo01,rav,Johnny Townsend,2020.0,25,BAL,P,6.0,1.0,0.0,2,100,50.0,26.0,74.0,37.0,55,0.0,0.0%,0.0,0.0%,0,0.0,False,,,
KochSa20,rav,Sam Koch,2006.0,24,BAL,P,4.0,16.0,0.0,86,3695,43.0,404.0,3231.0,37.6,61,3.0,3.5%,30.0,34.9%,0,2.0,False,,,
KochSa20,rav,Sam Koch,2007.0,25,BAL,P,4.0,16.0,0.0,78,3397,43.6,375.0,2842.0,36.0,64,9.0,11.5%,20.0,25.6%,1,2.0,False,,,
KochSa20,rav,Sam Koch,2008.0,26,BAL,P,4.0,16.0,0.0,84,3777,45.0,245.0,3352.0,39.9,74,9.0,10.7%,34.0,40.5%,0,3.0,False,,,
KochSa20,rav,Sam Koch,2009.0,27,BAL,P,4.0,16.0,0.0,73,3188,43.7,287.0,2801.0,37.9,60,5.0,6.8%,26.0,35.6%,1,2.0,False,,,
KochSa20,rav,Sam Koch,2010.0,28,BAL,P,4.0,16.0,0.0,81,3530,43.6,275.0,3175.0,39.2,60,4.0,4.9%,39.0,48.1%,0,2.0,False,,,
KochSa20,rav,Sam Koch,2011.0,29,BAL,P,4.0,16.0,0.0,73,3393,46.5,392.0,2821.0,38.6,63,9.0,12.3%,21.0,28.8%,0,3.0,False,,,
KochSa20,rav,Sam Koch,2012.0,30,BAL,P,4.0,16.0,0.0,83,3911,47.1,383.0,3388.0,40.8,60,7.0,8.4%,28.0,33.7%,0,3.0,False,,,
KochSa20,rav,Sam Koch,2013.0,31,BAL,P,4.0,16.0,0.0,90,4138,46.0,419.0,3539.0,38.9,69,9.0,10.0%,27.0,30.0%,1,2.0,False,,,
KochSa20,rav,Sam Koch,2014.0,32,BAL,P,4.0,16.0,0.0,60,2841,47.4,166.0,2595.0,42.5,73,4.0,6.7%,26.0,43.3%,1,3.0,False,,,
KochSa20,rav,Sam Koch,2015.0,33,BAL,P,4.0,16.0,0.0,74,3454,46.7,176.0,3178.0,42.9,67,5.0,6.8%,29.0,39.2%,0,3.0,False,,,"AP2, PB"
KochSa20,rav,Sam Koch,2016.0,34,BAL,P,4.0,16.0,0.0,80,3665,45.8,375.0,3190.0,39.9,68,5.0,6.3%,37.0,46.3%,0,2.0,False,,,
KochSa20,rav,Sam Koch,2017.0,35,BAL,P,4.0,16.0,0.0,84,3765,44.8,277.0,3428.0,40.3,67,3.0,3.6%,40.0,47.6%,1,2.0,False,,,
KochSa20,rav,Sam Koch,2018.0,36,BAL,P,4.0,16.0,0.0,60,2842,47.4,315.0,2427.0,39.8,65,5.0,8.3%,27.0,45.0%,1,3.0,False,,,
KochSa20,rav,Sam Koch,2019.0,37,BAL,P,4.0,16.0,0.0,40,1855,46.4,143.0,1632.0,39.8,62,4.0,10.0%,21.0,52.5%,1,2.0,False,,,
KochSa20,rav,Sam Koch,2020.0,38,BAL,P,4.0,15.0,0.0,51,2268,44.5,82.0,2166.0,42.5,59,1.0,2.0%,22.0,43.1%,0,2.0,False,,,
KochSa20,rav,Sam Koch,2021.0,39,BAL,P,4.0,17.0,0.0,71,3149,44.4,228.0,2841.0,40.0,61,4.0,5.6%,26.0,36.6%,0,2.0,False,,,
ZastDa20,rav,Dave Zastudil,2003.0,25,BAL,P,,1.0,0.0,8,390,48.8,70.0,320.0,40.0,56,0.0,0.0%,0.0,0.0%,0,,True,,,
KochSa20,rav,Sam Koch,2006.0,24,BAL,P,,1.0,0.0,5,190,38.0,33.0,137.0,27.4,47,1.0,20.0%,1.0,20.0%,0,,True,,,
KochSa20,rav,Sam Koch,2008.0,26,BAL,P,,3.0,0.0,20,845,42.3,44.0,761.0,38.1,52,2.0,10.0%,7.0,35.0%,0,,True,,,
KochSa20,rav,Sam Koch,2009.0,27,BAL,P,,2.0,0.0,9,374,41.6,57.0,317.0,35.2,59,0.0,0.0%,3.0,33.3%,0,,True,,,
KochSa20,rav,Sam Koch,2010.0,28,BAL,P,,2.0,0.0,6,277,46.2,22.0,235.0,39.2,61,1.0,16.7%,4.0,66.7%,0,,True,,,
KochSa20,rav,Sam Koch,2011.0,29,BAL,P,,2.0,0.0,13,619,47.6,11.0,568.0,43.7,64,2.0,15.4%,2.0,15.4%,0,,True,,,
KochSa20,rav,Sam Koch,2012.0,30,BAL,P,,4.0,0.0,22,1013,46.0,178.0,755.0,34.3,60,2.0,9.1%,8.0,36.4%,0,,True,,,
