game_id,home_strength,opp_strength
atl_buf_2017-10-01,-3.866397150550279,-12.48776804269584
atl_car_2015-12-27,6.125266303759193,-5.815322570535755
atl_car_2016-10-02,9.138679729734907,-0.34909779233348814
atl_car_2017-12-31,-0.8696723114523959,-19.55080325392398
atl_car_2018-09-16,-2.3672892894069726,-4.138544761657354
atl_car_2019-12-08,8.325871354471154,-36.407547741691616
atl_car_2020-10-11,2.786285010196414,-18.34591526209806
atl_car_2021-10-31,12.399701903250095,-34.04877625456488
atl_car_2022-10-30,-6.344407986283248,-16.258022589348876
atl_car_2023-09-10,13.35929234929804,-40.21247856993436
atl_chi_2020-09-27,5.6983745666326815,-23.37649795650723
atl_chi_2022-11-20,3.5800146620929842,-25.939428134612417
atl_cin_2018-09-30,25.37739282407732,-20.152593506777652
atl_cle_2022-10-02,-0.43421027471117224,-13.520191516711934
atl_clt_2015-11-22,10.425015111647177,-12.599077081031208
atl_clt_2023-12-24,3.4518292255477396,-25.62021153202825
atl_crd_2016-11-27,14.69587720551718,-14.72762966831453
atl_crd_2018-12-16,11.235572298017043,-28.53478488928204
atl_crd_2023-01-01,-0.7563518091038173,-12.457510856808838
atl_dal_2017-11-12,1.9950571836182602,-15.055661841072114
atl_dal_2018-11-18,9.560986434552156,-20.37942179111261
atl_den_2020-11-08,-3.438018738708342,-19.108597083247417
atl_det_2020-10-25,23.91636169044537,-12.638803624926455
atl_det_2021-12-26,-6.271720588496563,-12.6225357483344
atl_gnb_2016-10-30,1.9533566085923786,-12.115618246439084
atl_gnb_2017-01-22,34.975067505357686,-30.308757016967007
atl_gnb_2017-09-17,9.935344141445977,-17.98912763858056
atl_gnb_2023-09-17,16.33834643958805,-45.04328726309585
atl_htx_2015-10-04,9.328398161554533,-7.421348221697127
atl_htx_2023-10-08,8.022837332130175,-13.322937539115745
atl_jax_2019-12-22,3.8500714870166437,-24.233709566199643
atl_kan_2016-12-04,15.858811456539673,-17.616477599640966
atl_mia_2017-10-15,4.241491840863219,-29.878858648365338
atl_min_2015-11-29,1.3905830526508627,-26.372434954766774
atl_min_2017-12-03,20.762712375727208,-13.621783189182315
atl_min_2023-11-05,-3.4140961292358405,-20.041078765616703
atl_nor_2016-01-03,-0.5235675548326402,-9.564083506748446
atl_nor_2017-01-01,21.84686498584699,-9.48243254991286
atl_nor_2017-12-07,6.351503217062442,-9.707687468581861
atl_nor_2018-09-23,-4.090737643824822,-1.621319173876694
atl_nor_2019-11-28,-8.889858494551033,-16.708233154428004
atl_nor_2020-12-06,4.53309492655816,-27.82919154392637
atl_nor_2022-01-09,-8.328174424061517,-13.362537276421536
atl_nor_2022-09-11,11.115477454325628,-20.162988548646325
atl_nor_2023-11-26,4.32689427886033,-25.623490525776845
atl_nwe_2017-02-05,6.85395567508435,-3.3367634190324686
atl_nwe_2021-11-18,-21.27617362036787,-2.995929423111807
atl_nyg_2018-10-22,22.16785525260346,-7.991255544571274
atl_nyj_2021-10-10,13.182261819811433,-30.65829937655036
atl_oti_2019-09-29,12.251655447524113,-7.304724616455044
atl_phi_2015-09-14,40.820821789176975,-52.33686460753319
atl_phi_2019-09-15,8.815370576688586,-5.546553364472665
atl_phi_2021-09-12,12.542882802242781,-13.782493553542366
atl_pit_2022-12-04,3.402004682073537,-20.3295742785991
atl_rai_2020-11-29,-6.53447138457933,-21.58946177334048
atl_ram_2019-10-20,8.311534604605122,-5.798166414883052
atl_rav_2018-12-02,-13.94707479264083,-17.05550104883856
atl_sdg_2016-10-23,10.608673048151424,-9.509492816514602
atl_sdg_2022-11-06,4.2450122623105155,-23.213437983107262
atl_sea_2017-01-14,17.310670289075105,-24.43610346132597
atl_sea_2019-10-27,0.9164728924820915,-7.967481457177461
atl_sea_2020-09-13,26.44961286124644,-16.216600046685944
atl_sfo_2016-12-18,18.540777205587595,-24.755691477795025
atl_sfo_2022-10-16,9.249231487412178,-24.265887313908227
atl_tam_2015-11-01,18.170506611684274,-15.40477611271618
atl_tam_2016-09-11,14.659133191079011,-23.679703473539824
atl_tam_2017-11-26,14.19366309649997,-16.064759050961126
atl_tam_2018-10-14,18.871770645886503,-16.779407751797656
atl_tam_2019-11-24,-12.498308318918543,-10.959332088425143
atl_tam_2020-12-20,-7.816366432087376,-11.536601727607986
atl_tam_2021-12-05,6.459997150057031,-7.769614668396418
atl_tam_2023-01-08,-0.11312973217867572,-34.266027838422346
atl_tam_2023-12-10,7.6490540259555075,-14.081246677219925
atl_was_2015-10-11,-3.50447444009966,-21.142602949330684
atl_was_2021-10-03,9.941748181847553,-3.7675302176548113
atl_was_2023-10-15,1.9117686424807232,-24.793013785867483
buf_atl_2022-01-02,12.49467655800392,-21.818522029403393
buf_car_2021-12-19,2.8695270688012187,-21.790277884737414
buf_chi_2018-11-04,-17.81728709618081,-20.55498762132624
buf_cin_2015-10-18,-2.7282272037964646,-10.643673367475177
buf_cin_2019-09-22,6.4264764272642445,-16.899992848626855
buf_cin_2023-01-22,11.74687476779649,-32.130052713339126
buf_cle_2016-12-18,-1.9848343673836775,-33.63988389394495
buf_cle_2022-11-20,22.473671971448695,-29.955579350068323
buf_clt_2015-09-13,44.3289873577422,-62.838143346545536
buf_clt_2017-12-10,7.036028520823094,-25.063934736137135
buf_clt_2021-01-09,19.82245869787677,-12.181157956054928
buf_clt_2021-11-21,-4.204333078114672,-6.486630768141779
buf_crd_2016-09-25,-12.538855931338963,-27.33893184682002
buf_dal_2015-12-27,2.8795634855330556,-12.962023637905544
buf_dal_2023-12-17,-5.082409731470834,-11.547495413082993
