week_ind,day_int,OT,away,attendance,roof_type,humidity_pct,wind_speed,temperature,duration,coach_rating,coach_rating_opp,home_strength,opp_strength
1.0,5,0,0,66829.0,outdoors,0.0,7.0,65.0,180.0,91.572429054054,100.69751831357048,60.50110031286539,-36.37507603458714
2.0,2,0,1,70858.0,outdoors,57.0,7.0,62.0,218.0,53.43091287878786,88.0063500990379,-16.746706207378427,-33.35524440733866
3.0,2,0,0,66829.0,outdoors,41.0,6.0,68.0,177.0,91.82739935897436,-23.57861358684885,-4.239230322637857,-39.70875275434674
5.0,2,0,1,93054.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,183.0,47.68175164473687,96.70325454545454,-17.384249653056308,-12.842592923584824
6.0,2,0,1,66726.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,206.0,83.28974165619331,97.82068020086086,5.848543956901139,3.3285149791223683
7.0,2,0,0,66829.0,outdoors,80.0,9.0,58.0,196.0,97.41813348416292,191.38500000000008,2.9357608551971768,-2.809552136250726
8.0,5,0,0,66829.0,outdoors,39.0,10.0,58.0,182.0,96.33425709174546,250.295,13.999163424291192,-21.369239567357862
9.0,2,0,0,66829.0,outdoors,34.0,12.0,54.0,178.0,100.18501554001548,56.61007185482888,18.765866494757447,-31.630376073768105
10.0,2,0,1,81061.0,outdoors,31.0,8.0,60.0,200.0,35.57124158526592,104.2058258258258,-11.235794661139392,1.505884504714969
11.0,1,0,0,66829.0,outdoors,40.0,8.0,29.0,212.0,103.11907567832624,53.87771921627267,9.111564545626798,-23.03674190624194
12.0,2,1,1,76970.0,outdoors,75.0,3.0,23.0,208.0,126.28471014492756,102.95499266324286,2.6502225498151137,-7.333111550599524
13.0,2,0,0,66829.0,outdoors,49.0,5.0,52.0,190.0,99.2904583333334,78.13955178155179,10.65720665973479,-21.418709387697533
14.0,2,0,1,71908.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,180.0,81.48990683229805,102.24913068610596,2.1242626727255995,-17.180883727135203
15.0,2,0,0,66829.0,outdoors,41.0,12.0,40.0,186.0,104.4982991071428,18.8495833333333,17.15191639228175,-25.07354854860501
16.0,2,1,1,78160.0,outdoors,83.0,11.0,57.0,185.0,122.88967532467534,105.3732255523774,9.181989449949892,-32.024625616289896
17.0,2,0,1,62918.0,outdoors,65.0,7.0,80.0,186.0,3.747603896103996,101.69504370629372,10.115657584940069,-26.86712811424937
21.0,3,0,0,66829.0,outdoors,86.0,6.0,38.0,195.0,96.21998927958836,61.89007894736851,2.714643288917544,-12.040432375149807
,2,0,1,77112.0,outdoors,36.0,6.0,46.0,209.0,132.0252777777778,94.97353703703698,6.037760981686692,-38.706096016470525
1.0,2,0,0,78160.0,outdoors,49.0,8.0,77.0,180.0,50.0,21.688690476190484,45.64015682229137,-79.25518829101381
