,game_id,boxscore_stub,week_ind,day_int,attendance,roof_type,humidity_pct,wind_speed,temperature,over_under_value,spread_value,spread_home_away,coach_rating,coach_rating_opp,home_strength,opp_strength,score_home_test,score_opp_test,score_home_pred,score_opp_pred
2044,buf_rai_2023-09-17,/boxscores/202309170buf.htm,2.0,2,70772.0,outdoors,57.0,4.0,70.0,47.0,-8.0,1,104.2587136808316,52.54998931623926,12.166872652156542,-14.41504495197178,38.0,10.0,26.928636561465012,20.068736070650957
2045,was_buf_2023-09-24,/boxscores/202309240was.htm,3.0,2,64291.0,outdoors,96.0,1.0,65.0,43.5,-4.0,1,76.73686351706034,106.18573247327213,-17.071471939190282,-2.4281482425881693,3.0,37.0,21.08170899469441,21.414895000132322
2046,buf_mia_2023-10-01,/boxscores/202310010buf.htm,4.0,2,70881.0,outdoors,71.0,2.0,70.0,53.0,-2.0,1,107.59670663455071,108.81607142857148,12.482498227565891,-0.55716153362778,48.0,20.0,24.517080721743653,23.878624177028843
2047,buf_jax_2023-10-08,/boxscores/202310080buf.htm,5.0,2,61273.0,outdoors,52.0,7.0,75.0,48.5,-5.0,1,107.67464655297016,77.20583860673047,-16.356239188105945,-9.13748110022133,20.0,25.0,26.81432537435524,23.785415408837572
2048,buf_nyg_2023-10-15,/boxscores/202310150buf.htm,6.0,2,70515.0,outdoors,90.0,7.0,46.0,43.5,-15.0,1,106.44622451288492,15.177211538461506,16.4388090038951,-34.63139802969517,14.0,9.0,28.733242212139793,13.915737961091107
2049,nwe_buf_2023-10-22,/boxscores/202310220nwe.htm,7.0,2,64628.0,outdoors,65.0,13.0,55.0,41.5,-7.0,1,102.9145997970123,105.96072477705891,-37.476817023009446,21.45084342784774,29.0,25.0,22.207959423694557,21.896817120812514
2050,buf_tam_2023-10-26,/boxscores/202310260buf.htm,8.0,5,70416.0,outdoors,60.0,10.0,66.0,43.5,-10.0,1,105.36428747125126,47.52066381987584,-8.648036257957006,-5.14039753636156,24.0,18.0,25.186133470531058,16.588521454511433
2051,cin_buf_2023-11-05,/boxscores/202311050cin.htm,9.0,2,66965.0,outdoors,61.0,5.0,51.0,50.5,-1.0,0,34.11921820373714,106.2024331053097,-15.829450010316576,12.420604467343288,24.0,18.0,23.20157164379057,27.704767533865272
2052,buf_den_2023-11-13,/boxscores/202311130buf.htm,10.0,1,70318.0,outdoors,61.0,10.0,49.0,47.5,-7.0,1,105.08737046033946,102.43861955489491,-21.120733119501093,5.887690624112069,22.0,24.0,24.038928038717593,23.077467774578917
2053,buf_nyj_2023-11-19,/boxscores/202311190buf.htm,11.0,2,70603.0,outdoors,60.0,9.0,40.0,39.0,-7.0,1,105.31314968652036,21.607025939177174,-7.790871350621629,-16.855611930470896,32.0,6.0,25.43484836954629,16.132591545460063
2054,phi_buf_2023-11-26,/boxscores/202311260phi.htm,12.0,2,69879.0,outdoors,88.0,6.0,47.0,48.5,-3.0,0,131.69791769293923,107.28505217836688,-25.90868108676294,18.28331882196089,37.0,34.0,22.81607469835892,25.811248452168766
2055,kan_buf_2023-12-10,/boxscores/202312100kan.htm,14.0,2,73639.0,outdoors,43.0,5.0,45.0,48.5,-1.0,0,94.46067510710844,108.07087901336638,-9.453543531726735,15.54756367303587,17.0,20.0,23.86357612128525,23.711676921488777
2056,buf_dal_2023-12-17,/boxscores/202312170buf.htm,15.0,2,70933.0,outdoors,90.0,9.0,48.0,49.5,-2.0,1,107.60568402894066,87.44375256322624,-27.88703979042708,16.702832441038606,31.0,10.0,24.90012174514332,23.618402869034576
