coach_name,coach_link,team_link,home_away,boxscore_id,date,coach_id,team_id,season
Bruce Arians,/coaches/AriaBr0.htm,/teams/crd/2013.htm,home,201309150crd,2013-09-15,AriaBr0,crd,2013
Mike Shanahan,/coaches/ShanMi0.htm,/teams/was/2013.htm,away,201309150gnb,2013-09-15,ShanMi0,was,2013
Mike McCarthy,/coaches/McCaMi0.htm,/teams/gnb/2013.htm,home,201309150gnb,2013-09-15,McCaMi0,gnb,2013
Mike Munchak,/coaches/MuncMi0.htm,/teams/oti/2013.htm,away,201309150htx,2013-09-15,MuncMi0,oti,2013
Gary Kubiak,/coaches/KubiGa0.htm,/teams/htx/2013.htm,home,201309150htx,2013-09-15,KubiGa0,htx,2013
Jason Garrett,/coaches/GarrJa0.htm,/teams/dal/2013.htm,away,201309150kan,2013-09-15,GarrJa0,dal,2013
Andy Reid,/coaches/ReidAn0.htm,/teams/kan/2013.htm,home,201309150kan,2013-09-15,ReidAn0,kan,2013
John Fox,/coaches/FoxxJo0.htm,/teams/den/2013.htm,away,201309150nyg,2013-09-15,FoxxJo0,den,2013
Tom Coughlin,/coaches/CougTo0.htm,/teams/nyg/2013.htm,home,201309150nyg,2013-09-15,CougTo0,nyg,2013
Mike McCoy,/coaches/McCoMi1.htm,/teams/sdg/2013.htm,away,201309150phi,2013-09-15,McCoMi1,sdg,2013
Chip Kelly,/coaches/KellCh0.htm,/teams/phi/2013.htm,home,201309150phi,2013-09-15,KellCh0,phi,2013
Gus Bradley,/coaches/BradGu0.htm,/teams/jax/2013.htm,away,201309150rai,2013-09-15,BradGu0,jax,2013
Dennis Allen,/coaches/AlleDe0.htm,/teams/rai/2013.htm,home,201309150rai,2013-09-15,AlleDe0,rai,2013
Rob Chudzinski,/coaches/ChudRo0.htm,/teams/cle/2013.htm,away,201309150rav,2013-09-15,ChudRo0,cle,2013
John Harbaugh,/coaches/HarbJo0.htm,/teams/rav/2013.htm,home,201309150rav,2013-09-15,HarbJo0,rav,2013
Jim Harbaugh,/coaches/HarbJi0.htm,/teams/sfo/2013.htm,away,201309150sea,2013-09-15,HarbJi0,sfo,2013
Pete Carroll,/coaches/CarrPe0.htm,/teams/sea/2013.htm,home,201309150sea,2013-09-15,CarrPe0,sea,2013
Sean Payton,/coaches/PaytSe0.htm,/teams/nor/2013.htm,away,201309150tam,2013-09-15,PaytSe0,nor,2013
Greg Schiano,/coaches/SchiGr0.htm,/teams/tam/2013.htm,home,201309150tam,2013-09-15,SchiGr0,tam,2013
Mike Tomlin,/coaches/TomlMi0.htm,/teams/pit/2013.htm,away,201309160cin,2013-09-16,TomlMi0,pit,2013
Marvin Lewis,/coaches/LewiMa0.htm,/teams/cin/2013.htm,home,201309160cin,2013-09-16,LewiMa0,cin,2013
Andy Reid,/coaches/ReidAn0.htm,/teams/kan/2013.htm,away,201309190phi,2013-09-19,ReidAn0,kan,2013
Chip Kelly,/coaches/KellCh0.htm,/teams/phi/2013.htm,home,201309190phi,2013-09-19,KellCh0,phi,2013
Tom Coughlin,/coaches/CougTo0.htm,/teams/nyg/2013.htm,away,201309220car,2013-09-22,CougTo0,nyg,2013
Ron Rivera,/coaches/RiveRo0.htm,/teams/car/2013.htm,home,201309220car,2013-09-22,RiveRo0,car,2013
Mike McCarthy,/coaches/McCaMi0.htm,/teams/gnb/2013.htm,away,201309220cin,2013-09-22,McCaMi0,gnb,2013
Marvin Lewis,/coaches/LewiMa0.htm,/teams/cin/2013.htm,home,201309220cin,2013-09-22,LewiMa0,cin,2013
Jeff Fisher,/coaches/FishJe0.htm,/teams/ram/2013.htm,away,201309220dal,2013-09-22,FishJe0,ram,2013
Jason Garrett,/coaches/GarrJa0.htm,/teams/dal/2013.htm,home,201309220dal,2013-09-22,GarrJa0,dal,2013
Mike Smith,/coaches/SmitMi0.htm,/teams/atl/2013.htm,away,201309220mia,2013-09-22,SmitMi0,atl,2013
Joe Philbin,/coaches/PhilJo0.htm,/teams/mia/2013.htm,home,201309220mia,2013-09-22,PhilJo0,mia,2013
Rob Chudzinski,/coaches/ChudRo0.htm,/teams/cle/2013.htm,away,201309220min,2013-09-22,ChudRo0,cle,2013
