player_id,season,AV,table
AaitIs00,2013,0.0,['snap_counts']
AbanIs00,2023,1.0,['rushing_and_receiving']
AbbrJa00,2015,1.0,"['receiving_and_rushing', 'returns']"
AbbrJa00,2016,0.0,['receiving_and_rushing']
AbbrJa00,2017,0.0,['receiving_and_rushing']
AbdeMe00,2016,0.0,['snap_counts']
AbduAm00,2015,5.0,['rushing_and_receiving']
AbduAm00,2016,1.0,['rushing_and_receiving']
AbduAm00,2017,5.0,['rushing_and_receiving']
AbduAm00,2018,0.0,"['rushing_and_receiving', 'rushing_and_receiving', 'rushing_and_receiving']"
AbduAm00,2019,2.0,['rushing_and_receiving']
AbduAm00,2020,1.0,['rushing_and_receiving']
AbduAm00,2021,2.0,"['rushing_and_receiving', 'rushing_and_receiving', 'rushing_and_receiving']"
AbduAm00,2022,2.0,['rushing_and_receiving']
AbduAm00,2023,2.0,['rushing_and_receiving']
AbduHu99,2008,1.0,['defense']
AbduHu99,2009,1.0,['defense']
AbduHu99,2010,6.0,['defense']
AbduHu99,2011,2.0,['defense']
AbduHu99,2013,2.0,"['defense', 'scoring']"
AbduHu99,2014,6.0,"['defense', 'scoring']"
AbduHu99,2015,2.0,['defense']
AbduIs00,2011,1.0,['defense']
AbduIs00,2012,2.0,"['defense', 'snap_counts']"
AbduIs00,2013,1.0,"['defense', 'snap_counts']"
AbduIs00,2014,2.0,"['defense', 'snap_counts']"
AbduIs00,2015,3.0,"['defense', 'snap_counts']"
AbduIs00,2016,5.0,"['defense', 'snap_counts']"
AbduYa00,2023,0.0,['defense']
AberMi00,2022,0.0,['defense']
AberMi00,2023,1.0,['defense']
AbouOd00,2014,5.0,['snap_counts']
AbouOd00,2015,2.0,['snap_counts']
AbouOd00,2016,1.0,['snap_counts']
AbouOd00,2017,4.0,['snap_counts']
AbouOd00,2018,2.0,['snap_counts']
AbouOd00,2019,1.0,['snap_counts']
AbouOd00,2020,4.0,['snap_counts']
AbouOd00,2021,2.0,['snap_counts']
AbouOd00,2022,3.0,['snap_counts']
AbraDe00,2020,0.0,['games_played']
AbraJo00,2000,1.0,['defense']
AbraJo00,2001,16.0,['defense']
AbraJo00,2002,9.0,['defense']
AbraJo00,2003,3.0,['defense']
AbraJo00,2004,11.0,['defense']
AbraJo00,2005,6.0,['defense']
AbraJo00,2006,3.0,['defense']
AbraJo00,2007,7.0,['defense']
AbraJo00,2008,13.0,['defense']
AbraJo00,2009,7.0,['defense']
AbraJo00,2010,16.0,['defense']
AbraJo00,2011,8.0,['defense']
AbraJo00,2012,8.0,['defense']
AbraJo00,2013,9.0,['defense']
AbraJo00,2014,0.0,['defense']
AbraJo01,2019,0.0,['defense']
AbraJo01,2020,5.0,['defense']
AbraJo01,2021,4.0,['defense']
AbraJo01,2022,1.5,"['defense', 'defense', 'defense', 'defense']"
AbraJo01,2023,2.0,['defense']
AchaDe00,2023,7.0,['rushing_and_receiving']
AchoEm00,2013,0.0,"['defense', 'snap_counts']"
AchoEm00,2014,2.0,"['defense', 'snap_counts']"
AchoSa00,2011,6.0,['defense']
AchoSa00,2012,9.0,['defense']
AchoSa00,2013,1.0,['defense']
AchoSa00,2014,4.0,['defense']
AchoSa00,2015,4.0,['defense']
AchoSa00,2016,3.0,['defense']
AchoSa00,2017,6.0,['defense']
AchoSa00,2018,0.0,['defense']
AchoSa00,2019,1.0,['defense']
AckeKe00,2015,5.0,"['defense', 'snap_counts']"
AckeKe00,2016,1.0,"['defense', 'snap_counts']"
AckeKe00,2017,2.0,"['defense', 'snap_counts']"
AdamAn00,2016,5.0,['defense']
AdamAn00,2017,2.0,['defense']
AdamAn00,2018,2.0,['defense']
AdamAn00,2019,4.0,['defense']
AdamAn00,2020,1.0,['defense']
AdamAn00,2021,2.0,['defense']
AdamAn00,2022,5.0,['defense']
AdamAn00,2023,0.0,['defense']
AdamDa01,2014,5.0,['receiving_and_rushing']
AdamDa01,2015,4.0,['receiving_and_rushing']
AdamDa01,2016,10.0,['receiving_and_rushing']
AdamDa01,2017,8.0,['receiving_and_rushing']
AdamDa01,2018,10.0,['receiving_and_rushing']
AdamDa01,2019,9.0,['receiving_and_rushing']
AdamDa01,2020,16.0,['receiving_and_rushing']
AdamDa01,2021,15.0,['receiving_and_rushing']
AdamDa01,2022,14.0,['receiving_and_rushing']
AdamDa01,2023,10.0,['receiving_and_rushing']
AdamJa00,2017,7.0,['defense']
AdamJa00,2018,10.0,['defense']
AdamJa00,2019,14.0,['defense']
AdamJa00,2020,9.0,['defense']
AdamJa00,2021,5.0,['defense']
AdamJa00,2022,0.0,['defense']
AdamJa00,2023,2.0,['defense']
AdamJe00,2014,0.0,['games_played']
AdamJe00,2015,1.0,['games_played']
AdamJe01,2016,1.0,"['receiving_and_rushing', 'scoring']"
AdamJe01,2017,1.0,['receiving_and_rushing']
AdamJe01,2019,0.0,['receiving_and_rushing']
AdamJo02,2013,0.0,['games_played']
AdamJo03,2018,3.0,['rushing_and_receiving']
AdamJo03,2019,0.0,['rushing_and_receiving']
AdamJo03,2020,1.0,['rushing_and_receiving']
AdamJo03,2021,0.0,['rushing_and_receiving']
AdamKy00,2011,0.0,"['receiving_and_rushing', 'returns']"
AdamKy00,2012,0.0,"['receiving_and_rushing', 'returns']"
AdamKy00,2013,0.0,"['receiving_and_rushing', 'receiving_and_rushing', 'receiving_and_rushing']"
AdamMa00,2018,6.0,['defense']
AdamMa00,2019,2.0,['defense']
AdamMa00,2020,1.0,['defense']
AdamMa00,2021,1.0,['defense']
AdamMa00,2022,2.0,['defense']
AdamMa00,2023,2.0,['defense']
AdamMi02,2012,3.0,['snap_counts']
AdamMi02,2013,5.0,['snap_counts']
AdamMi02,2014,3.0,['snap_counts']
AdamMi02,2016,1.0,['snap_counts']
AdamMi21,2004,1.0,['defense']
AdamMi21,2005,5.0,['defense']
AdamMi21,2006,3.0,['defense']
AdamMi21,2007,1.0,['defense']
AdamMi21,2008,3.0,['defense']
AdamMi21,2009,4.0,['defense']
AdamMi21,2010,2.0,['defense']
AdamMi21,2011,8.0,['defense']
AdamMi21,2012,6.0,['defense']
AdamMi21,2013,4.0,['defense']
AdamMi21,2014,10.0,['defense']
AdamMi21,2015,9.0,['defense']
AdamMi21,2016,6.0,['defense']
AdamMi21,2017,7.0,['defense']
AdamMi21,2018,6.0,['defense']
AdamMi21,2019,0.0,['defense']
AdamMi98,2007,0.0,['defense']
AdamMi98,2008,1.0,['defense']
AdamMi98,2009,1.0,['defense']
AdamMi98,2010,3.0,"['defense', 'scoring']"
AdamMi98,2011,1.0,['defense']
AdamMi98,2012,1.0,['defense']
AdamMi98,2013,0.0,['defense']
AdamMo00,2017,0.0,['defense']
AdamMo00,2018,2.0,['defense']
AdamMo00,2019,2.0,['defense']
AdamMo00,2020,1.0,['defense']
AdamMo00,2021,2.0,"['defense', 'defense', 'defense']"
AdamMo00,2022,4.0,['defense']
AdamMo00,2023,4.0,['defense']
AdamMy00,2021,0.0,['defense']
AdamMy00,2022,1.0,['defense']
AdamMy00,2023,1.0,['defense']
AdamPh00,2010,1.0,"['defense', 'returns']"
AdamPh00,2011,0.6666666666666666,"['defense', 'defense', 'defense']"
AdamPh00,2012,2.0,"['defense', 'returns']"
AdamPh00,2013,2.0,"['defense', 'returns']"
AdamPh00,2014,2.0,['defense']
AdamPh00,2015,2.0,['defense']
AdamRo01,2021,0.0,['receiving_and_rushing']
AdamTo03,2022,1.0,['defense']
AdamTo03,2023,5.0,['defense']
AdamTy00,2016,0.0,['defense']
AdamTy00,2017,1.0,['defense']
AdamTy00,2018,0.0,['defense']
AdamTy00,2019,1.0,['defense']
AdamTy00,2020,5.0,['defense']
AdamTy00,2021,0.0,"['defense', 'defense', 'defense']"
AddaJa00,2013,2.0,['defense']
AddaJa00,2014,3.0,['defense']
AddaJa00,2015,4.0,['defense']
AddaJa00,2016,3.0,['defense']
AddaJa00,2017,6.0,['defense']
AddaJa00,2018,6.0,['defense']
AddaJa00,2019,2.0,['defense']
AddaJa00,2020,1.0,['defense']
AddaJa00,2021,1.0,['defense']
AddeNa00,2019,0.0,['defense']
AddeNa00,2020,5.0,['defense']
AddeNa00,2021,4.0,['defense']
AddeNa00,2022,5.0,['defense']
AddiBr01,2016,0.0,['returns']
AddiJo00,2023,7.0,['receiving_and_rushing']
AddiMa00,2011,0.0,"['defense', 'defense', 'defense']"
AddiMa00,2012,0.5,"['defense', 'defense', 'defense', 'defense']"
AddiMa00,2013,3.0,['defense']
AddiMa00,2014,2.0,['defense']
AddiMa00,2015,2.0,['defense']
AddiMa00,2016,3.0,['defense']
AddiMa00,2017,7.0,['defense']
AddiMa00,2018,7.0,['defense']
AddiMa00,2019,6.0,['defense']
AddiMa00,2020,4.0,['defense']
AddiMa00,2021,2.0,['defense']
AddiMa00,2022,1.0,['defense']
AddiTu00,2022,0.0,['snap_counts']
AddiTu00,2023,0.0,['snap_counts']
AdebAd00,2023,1.0,['defense']
AdebPa00,2021,6.0,['defense']
AdebPa00,2022,4.0,['defense']
AdebPa00,2023,7.0,['defense']
AdebQu00,2017,0.0,['games_played']
