coach_name,coach_id,team_id,season,boxscore_id,event_date,week,home_team_id,opp_team_id,rating
Marc Trestman,TresMa0,chi,2013,201312290chi,2013-12-29,17,chi,gnb,60.027999999999956
Jim Harbaugh,HarbJi0,sfo,2013,201401050gnb,2014-01-05,100,sfo,gnb,81.56275000000002
Chip Kelly,KellCh0,phi,2013,201401040phi,2014-01-04,100,phi,nor,93.28932142857143
Marvin Lewis,LewiMa0,cin,2013,201401050cin,2014-01-05,100,cin,sdg,139.17346153846154
Mike McCarthy,McCaMi0,gnb,2013,201401050gnb,2014-01-05,100,gnb,sfo,95.53833333333336
Mike McCoy,McCoMi1,sdg,2013,201401050cin,2014-01-05,100,sdg,cin,96.61975378787875
Chuck Pagano,PagaCh0,clt,2013,201401040clt,2014-01-04,100,clt,kan,54.074861111111105
Sean Payton,PaytSe0,nor,2013,201401040phi,2014-01-04,100,nor,phi,170.63602272727272
Andy Reid,ReidAn0,kan,2013,201401040clt,2014-01-04,100,kan,clt,44.71198214285715
Bill Belichick,BeliBi0,nwe,2013,201401110nwe,2014-01-11,101,nwe,clt,87.09384615384613
Pete Carroll,CarrPe0,sea,2013,201401110sea,2014-01-11,101,sea,nor,144.12476136363637
John Fox,FoxxJo0,den,2013,201401120den,2014-01-12,101,den,sdg,184.27479166666666
Jim Harbaugh,HarbJi0,sfo,2013,201401120car,2014-01-12,101,sfo,car,86.80098930481282
Mike McCoy,McCoMi1,sdg,2013,201401120den,2014-01-12,101,sdg,den,88.54997531879886
Chuck Pagano,PagaCh0,clt,2013,201401110nwe,2014-01-11,101,clt,nwe,56.15761990950227
Sean Payton,PaytSe0,nor,2013,201401110sea,2014-01-11,101,nor,sea,175.44973930481285
Ron Rivera,RiveRo0,car,2013,201401120car,2014-01-12,101,car,sfo,90.40074999999999
Bill Belichick,BeliBi0,nwe,2013,201401190den,2014-01-19,102,nwe,den,89.2724191984486
Pete Carroll,CarrPe0,sea,2013,201401190sea,2014-01-19,102,sea,sfo,132.04760695187173
John Fox,FoxxJo0,den,2013,201401190den,2014-01-19,102,den,nwe,184.1480731523379
Jim Harbaugh,HarbJi0,sfo,2013,201401190sea,2014-01-19,102,sfo,sea,85.8964141414141
Pete Carroll,CarrPe0,sea,2013,201402020den,2014-02-02,103,sea,den,128.67375816993467
John Fox,FoxxJo0,den,2013,201402020den,2014-02-02,103,den,sea,188.716047008547
Dennis Allen,AlleDe0,rai,2014,201409070nyj,2014-09-07,1,rai,nyj,28.084423076923095
Bruce Arians,AriaBr0,crd,2014,201409080crd,2014-09-08,1,crd,sdg,99.43513736263738
Bill Belichick,BeliBi0,nwe,2014,201409070mia,2014-09-07,1,nwe,mia,76.75003357753359
Gus Bradley,BradGu0,jax,2014,201409070phi,2014-09-07,1,jax,phi,-31.83631993006989
Jim Caldwell,CaldJi0,det,2014,201409080det,2014-09-08,1,det,nyg,50.0
Pete Carroll,CarrPe0,sea,2014,201409040sea,2014-09-04,1,sea,gnb,129.05296783625727
Tom Coughlin,CougTo0,nyg,2014,201409080det,2014-09-08,1,nyg,det,34.936607142857156
Jeff Fisher,FishJe0,ram,2014,201409070ram,2014-09-07,1,ram,min,24.523958333333383
John Fox,FoxxJo0,den,2014,201409070den,2014-09-07,1,den,clt,178.55384085213035
