coach_name,coach_id,team_id,season,boxscore_id,event_date,week,home_team_id,opp_team_id,rating
Mike McCoy,McCoMi1,sdg,2013,201310140sdg,2013-10-14,6,sdg,clt,61.98500000000005
Mike Munchak,MuncMi0,oti,2013,201310130sea,2013-10-13,6,oti,sea,69.73599999999998
Chuck Pagano,PagaCh0,clt,2013,201310140sdg,2013-10-14,6,clt,sdg,112.25666666666669
Sean Payton,PaytSe0,nor,2013,201310130nwe,2013-10-13,6,nor,nwe,157.15724999999998
Andy Reid,ReidAn0,kan,2013,201310130kan,2013-10-13,6,kan,rai,118.18750000000004
Ron Rivera,RiveRo0,car,2013,201310130min,2013-10-13,6,car,min,100.685
Rex Ryan,RyanRe0,nyj,2013,201310130nyj,2013-10-13,6,nyj,pit,115.66249999999994
Greg Schiano,SchiGr0,tam,2013,201310130tam,2013-10-13,6,tam,phi,2.0075000000000003
Jim Schwartz,SchwJi0,det,2013,201310130cle,2013-10-13,6,det,cle,57.982500000000044
Mike Shanahan,ShanMi0,was,2013,201310130dal,2013-10-13,6,was,dal,13.492500000000021
