Coach,Team,Season,Season_Games,Season_Wins,Season_Losses,Season_Ties,Playoff_Games,Playoff_Wins,Playoff_Losses
Jonathan Gannon,ARI,2023,17,4,13,0,,,
Arthur Smith,ATL,2023,17,7,10,0,,,
John Harbaugh,BAL,2023,17,13,4,0,2.0,1.0,1.0
Sean McDermott,BUF,2023,17,11,6,0,2.0,1.0,1.0
Frank Reich,CAR,2023,11,1,10,0,,,
Chris Tabor,CAR,2023,6,1,5,0,,,
Matt Eberflus,CHI,2023,17,7,10,0,,,
Zac Taylor,CIN,2023,17,9,8,0,,,
Kevin Stefanski,CLE,2023,17,11,6,0,1.0,0.0,1.0
Mike McCarthy,DAL,2023,17,12,5,0,1.0,0.0,1.0
Sean Payton,DEN,2023,17,8,9,0,,,
Dan Campbell,DET,2023,17,12,5,0,3.0,2.0,1.0
Matt LaFleur,GNB,2023,17,9,8,0,2.0,1.0,1.0
DeMeco Ryans,HOU,2023,17,10,7,0,2.0,1.0,1.0
Shane Steichen,IND,2023,17,9,8,0,,,
Doug Pederson,JAX,2023,17,9,8,0,,,
Andy Reid,KAN,2023,17,11,6,0,4.0,4.0,0.0
Brandon Staley,LAC,2023,14,5,9,0,,,
Giff Smith,LAC,2023,3,0,3,0,,,
Sean McVay,LAR,2023,17,10,7,0,1.0,0.0,1.0
Antonio Pierce,LVR,2023,9,5,4,0,,,
Josh McDaniels,LVR,2023,8,3,5,0,,,
Mike McDaniel,MIA,2023,17,11,6,0,1.0,0.0,1.0
Kevin O'Connell,MIN,2023,17,7,10,0,,,
Dennis Allen,NOR,2023,17,9,8,0,,,
Bill Belichick,NWE,2023,17,4,13,0,,,
Brian Daboll,NYG,2023,17,6,11,0,,,
Robert Saleh,NYJ,2023,17,7,10,0,,,
Nick Sirianni,PHI,2023,17,11,6,0,1.0,0.0,1.0
Mike Tomlin,PIT,2023,17,10,7,0,1.0,0.0,1.0
Pete Carroll,SEA,2023,17,9,8,0,,,
Kyle Shanahan,SFO,2023,17,12,5,0,3.0,2.0,1.0
Todd Bowles,TAM,2023,17,9,8,0,2.0,1.0,1.0
Mike Vrabel,TEN,2023,17,6,11,0,,,
Ron Rivera,WAS,2023,17,4,13,0,,,
Steve Wilks,ARI,2018,16,3,13,0,,,
Dan Quinn,ATL,2018,16,7,9,0,0.0,0.0,0.0
John Harbaugh,BAL,2018,16,10,6,0,1.0,0.0,1.0
Sean McDermott,BUF,2018,16,6,10,0,0.0,0.0,0.0
Ron Rivera,CAR,2018,16,7,9,0,,,
Matt Nagy,CHI,2018,16,12,4,0,1.0,0.0,1.0
Marvin Lewis,CIN,2018,16,6,10,0,,,
Hue Jackson,CLE,2018,8,2,5,1,,,
Gregg Williams,CLE,2018,8,5,3,0,,,
Jason Garrett,DAL,2018,16,10,6,0,2.0,1.0,1.0
Vance Joseph,DEN,2018,16,6,10,0,,,
Matt Patricia,DET,2018,16,6,10,0,,,
Mike McCarthy,GNB,2018,12,4,7,1,,,
Joe Philbin,GNB,2018,4,2,2,0,,,
Bill O'Brien,HOU,2018,16,11,5,0,1.0,0.0,1.0
Frank Reich,IND,2018,16,10,6,0,2.0,1.0,1.0
Doug Marrone,JAX,2018,16,5,11,0,,,
Andy Reid,KAN,2018,16,12,4,0,2.0,1.0,1.0
Anthony Lynn,LAC,2018,16,12,4,0,2.0,1.0,1.0
Sean McVay,LAR,2018,16,13,3,0,3.0,2.0,1.0
Adam Gase,MIA,2018,16,7,9,0,,,
Mike Zimmer,MIN,2018,16,8,7,1,,,
Sean Payton,NOR,2018,16,13,3,0,2.0,1.0,1.0
Bill Belichick,NWE,2018,16,11,5,0,3.0,3.0,0.0
Pat Shurmur,NYG,2018,16,5,11,0,,,
Todd Bowles,NYJ,2018,16,4,12,0,,,
