date,player_id,player_name,team,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,kick_ret_long,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,punt_ret_long
2017-11-26,RodgJa00,Jacquizz Rodgers,TAM,2,43,21.5,0,26,0,0,,0,0
2017-11-26,RobeAn00,Andre Roberts,ATL,5,129,25.8,0,33,2,26,13.0,0,18
2017-11-26,TateBr00,Brandon Tate,BUF,0,0,,0,0,6,61,10.2,0,20
2017-11-26,HillTy00,Tyreek Hill,KAN,0,0,,0,0,2,0,0.0,0,5
2017-11-26,WestCh01,Charcandrick West,KAN,2,37,18.5,0,19,0,0,,0,0
2017-11-26,HuntAk01,Akeem Hunt,KAN,1,32,32.0,0,32,0,0,,0,0
2017-11-26,ClayKa00,Kaelin Clay,CAR,0,0,,0,0,3,73,24.3,1,60
2017-11-26,McCaCh01,Christian McCaffrey,CAR,0,0,,0,0,2,22,11.0,0,14
2017-11-26,WhitFo00,Fozzy Whittaker,CAR,2,49,24.5,0,31,0,0,,0,0
2017-11-26,NatsJo00,Jojo Natson,NYJ,2,52,26.0,0,32,4,7,1.8,0,17
2017-11-26,CoheTa00,Tarik Cohen,CHI,3,71,23.7,0,39,0,0,,0,0
2017-11-26,AchoSa00,Sam Acho,CHI,1,3,3.0,0,3,0,0,,0,0
2017-11-26,BarnKe00,Kenjon Barner,PHI,0,0,,0,0,1,17,17.0,0,17
2017-11-26,PeppJa00,Jabrill Peppers,CLE,0,0,,0,0,1,15,15.0,0,13
2017-11-26,DayeMa00,Matthew Dayes,CLE,5,103,20.6,0,24,0,0,,0,0
2017-11-26,EricAl01,Alex Erickson,CIN,1,25,25.0,0,25,1,14,14.0,0,14
2017-11-26,JonePa20,Adam Jones,CIN,0,0,,0,0,1,16,16.0,0,16
2017-11-26,JackAd00,Adoree' Jackson,TEN,1,15,15.0,0,15,2,7,3.5,0,7
2017-11-26,RogeCh02,Chester Rogers,IND,0,0,,0,0,1,0,0.0,0,0
2017-11-26,GranJa00,Jakeem Grant,MIA,4,97,24.3,0,28,1,0,0.0,0,0
