coach_name,coach_link,team_link,home_away,boxscore_id,date
Gus Bradley,/coaches/BradGu0.htm,/teams/jax/2013.htm,away,201309150rai,2013-09-15
Dennis Allen,/coaches/AlleDe0.htm,/teams/rai/2013.htm,home,201309150rai,2013-09-15
Rob Chudzinski,/coaches/ChudRo0.htm,/teams/cle/2013.htm,away,201309150rav,2013-09-15
John Harbaugh,/coaches/HarbJo0.htm,/teams/rav/2013.htm,home,201309150rav,2013-09-15
Jim Harbaugh,/coaches/HarbJi0.htm,/teams/sfo/2013.htm,away,201309150sea,2013-09-15
Pete Carroll,/coaches/CarrPe0.htm,/teams/sea/2013.htm,home,201309150sea,2013-09-15
Sean Payton,/coaches/PaytSe0.htm,/teams/nor/2013.htm,away,201309150tam,2013-09-15
Greg Schiano,/coaches/SchiGr0.htm,/teams/tam/2013.htm,home,201309150tam,2013-09-15
Mike Tomlin,/coaches/TomlMi0.htm,/teams/pit/2013.htm,away,201309160cin,2013-09-16
Marvin Lewis,/coaches/LewiMa0.htm,/teams/cin/2013.htm,home,201309160cin,2013-09-16
Andy Reid,/coaches/ReidAn0.htm,/teams/kan/2013.htm,away,201309190phi,2013-09-19
Chip Kelly,/coaches/KellCh0.htm,/teams/phi/2013.htm,home,201309190phi,2013-09-19
Tom Coughlin,/coaches/CougTo0.htm,/teams/nyg/2013.htm,away,201309220car,2013-09-22
Ron Rivera,/coaches/RiveRo0.htm,/teams/car/2013.htm,home,201309220car,2013-09-22
Mike McCarthy,/coaches/McCaMi0.htm,/teams/gnb/2013.htm,away,201309220cin,2013-09-22
Marvin Lewis,/coaches/LewiMa0.htm,/teams/cin/2013.htm,home,201309220cin,2013-09-22
Jeff Fisher,/coaches/FishJe0.htm,/teams/ram/2013.htm,away,201309220dal,2013-09-22
Jason Garrett,/coaches/GarrJa0.htm,/teams/dal/2013.htm,home,201309220dal,2013-09-22
Mike Smith,/coaches/SmitMi0.htm,/teams/atl/2013.htm,away,201309220mia,2013-09-22
Joe Philbin,/coaches/PhilJo0.htm,/teams/mia/2013.htm,home,201309220mia,2013-09-22
Rob Chudzinski,/coaches/ChudRo0.htm,/teams/cle/2013.htm,away,201309220min,2013-09-22
Leslie Frazier,/coaches/FrazLe0.htm,/teams/min/2013.htm,home,201309220min,2013-09-22
Bruce Arians,/coaches/AriaBr0.htm,/teams/crd/2013.htm,away,201309220nor,2013-09-22
Sean Payton,/coaches/PaytSe0.htm,/teams/nor/2013.htm,home,201309220nor,2013-09-22
Greg Schiano,/coaches/SchiGr0.htm,/teams/tam/2013.htm,away,201309220nwe,2013-09-22
Bill Belichick,/coaches/BeliBi0.htm,/teams/nwe/2013.htm,home,201309220nwe,2013-09-22
