,LB,DB,DL
OL,0.3968668407310705,0.36553524804177545,0.23759791122715404
QB,0.475851073806621,0.22474913251430179,0.2993997936790772
RB,0.4427772756720441,0.2986827056122979,0.25854001871565796
TE,0.37925197925197923,0.5766857766857767,0.044062244062244064
WR,0.24622790630837765,0.7145782440005748,0.03919384969104756
