position,statistic,stat_source,weight
LB,pass_yds,player_offense_all.csv,0.0
LB,pass_td,player_offense_all.csv,0.0
LB,pass_int,player_offense_all.csv,0.0
LB,pass_sacked,player_offense_all.csv,0.0
LB,pass_sacked_yds,player_offense_all.csv,0.0
LB,pass_long,player_offense_all.csv,0.0
LB,pass_rating,player_offense_all.csv,0.0
LB,rush_att,player_offense_all.csv,0.032870192528834545
LB,rush_yds,player_offense_all.csv,0.09039302945431736
LB,rush_td,player_offense_all.csv,0.0
LB,rush_long,player_offense_all.csv,0.08628425538821094
LB,rec_tgt,player_offense_all.csv,0.008217548132208624
LB,rec_rec,player_offense_all.csv,0.008217548132208622
LB,rec_yds,player_offense_all.csv,0.06163161099156567
LB,rec_td,player_offense_all.csv,0.0041087740661043155
LB,rec_long,player_offense_all.csv,0.06163161099156682
LB,fmb,player_offense_all.csv,0.0
LB,fmb_lost,player_offense_all.csv,0.0
LB,scoring_xpm,player_kicking_all.csv,0.0
LB,scoring_xpa,player_kicking_all.csv,0.0
LB,scoring_fgm,player_kicking_all.csv,0.0
LB,scoring_fga,player_kicking_all.csv,0.0
LB,punt,player_kicking_all.csv,0.0
LB,punt_yds,player_kicking_all.csv,0.0
LB,punt_yds_per_punt,player_kicking_all.csv,0.0
LB,punt_long,player_kicking_all.csv,0.0
LB,kick_ret,player_returns_all.csv,0.2395811233002068
LB,kick_ret_yds,player_returns_all.csv,0.0029558021559623485
LB,kick_ret_yds_per_ret,player_returns_all.csv,0.0029558021559623485
LB,kick_ret_td,player_returns_all.csv,0.0
LB,kick_ret_long,player_returns_all.csv,0.002955802155962437
LB,punt_ret,player_returns_all.csv,-0.504879332734032
LB,punt_ret_yds,player_returns_all.csv,0.0
LB,punt_ret_yds_per_ret,player_returns_all.csv,0.0
LB,punt_ret_td,player_returns_all.csv,0.0
LB,punt_ret_long,player_returns_all.csv,0.0
LB,active,injuries_all.csv,0.10149149154992891
LB,game_status_available,injuries_all.csv,-0.053323302533071396
LB,game_status_out,injuries_all.csv,0.031078134643147907
LB,game_status_probable,injuries_all.csv,-0.029201207997433015
LB,game_status_doubtful,injuries_all.csv,-0.32621088077376764
LB,game_status_injured_reserve,injuries_all.csv,0.03992177467022625
LB,game_status_questionable,injuries_all.csv,-0.07516779856949608
LB,game_status_unable_to_perform,injuries_all.csv,0.28070643433577064
LB,game_status_suspended,injuries_all.csv,0.14254136945949353
LB,game_status_day_to_day,injuries_all.csv,0.0
LB,game_status_reserve,injuries_all.csv,0.0
LB,game_status_unknown,injuries_all.csv,0.0
DB,off_num,snap_counts_all.csv,-0.03145966235201687
DB,off_pct,snap_counts_all.csv,0.035193235913194836
DB,def_num,snap_counts_all.csv,0.0019641114092149017
DB,def_pct,snap_counts_all.csv,-0.08033309749552656
DB,st_num,snap_counts_all.csv,-0.013489218040434538
DB,st_pct,snap_counts_all.csv,0.4346180974495482
DB,home,game_starters_all.csv,0.4934797656072424
DB,season,injuries_all.csv,-1.4553491748914671e-05
DB,def_int,player_defense_all.csv,0.41747522431967793
DB,def_int_yds,player_defense_all.csv,0.004288273582457817
DB,def_int_td,player_defense_all.csv,0.045248934160647736
DB,def_int_long,player_defense_all.csv,0.0006124995061712822
DB,pass_defended,player_defense_all.csv,0.05385167741052805
DB,sacks,player_defense_all.csv,-0.06883011076730008
DB,tackles_combined,player_defense_all.csv,0.002182285470963376
DB,tackles_solo,player_defense_all.csv,-0.01524252710921537
DB,tackles_assists,player_defense_all.csv,0.017424812553693863
DB,tackles_loss,player_defense_all.csv,0.12426709403850332
DB,qb_hits,player_defense_all.csv,-0.07054529640009033
DB,fumbles_rec,player_defense_all.csv,0.17864212282723255
DB,fumbles_rec_yds,player_defense_all.csv,0.009405035369644531
DB,fumbles_rec_td,player_defense_all.csv,-0.29637037765441826
DB,fumbles_forced,player_defense_all.csv,0.11156033537959442
DB,pass_cmp,player_offense_all.csv,-1.5065978810386946
DB,pass_att,player_offense_all.csv,1.8565349780127067
DB,pass_yds,player_offense_all.csv,-0.003115910981282253
DB,pass_td,player_offense_all.csv,0.0
DB,pass_int,player_offense_all.csv,0.0
DB,pass_sacked,player_offense_all.csv,0.0
DB,pass_sacked_yds,player_offense_all.csv,0.0
DB,pass_long,player_offense_all.csv,-0.0031159109812830287
DB,pass_rating,player_offense_all.csv,0.007189618964723426
DB,rush_att,player_offense_all.csv,0.192808502380895
DB,rush_yds,player_offense_all.csv,-0.002522135463640485
DB,rush_td,player_offense_all.csv,0.0
DB,rush_long,player_offense_all.csv,-0.0025221354636250403
DB,rec_tgt,player_offense_all.csv,1.7365011632132559
DB,rec_rec,player_offense_all.csv,-0.7050236507641596
DB,rec_yds,player_offense_all.csv,-0.01008019862556179
DB,rec_td,player_offense_all.csv,0.0
DB,rec_long,player_offense_all.csv,-0.01008019862554604
DB,fmb,player_offense_all.csv,0.22097383896557155
DB,fmb_lost,player_offense_all.csv,0.04989366634294905
DB,scoring_xpm,player_kicking_all.csv,0.0
DB,scoring_xpa,player_kicking_all.csv,0.0
DB,scoring_fgm,player_kicking_all.csv,0.0
DB,scoring_fga,player_kicking_all.csv,0.0
DB,punt,player_kicking_all.csv,0.0
DB,punt_yds,player_kicking_all.csv,0.0
DB,punt_yds_per_punt,player_kicking_all.csv,0.0
DB,punt_long,player_kicking_all.csv,0.0
DB,kick_ret,player_returns_all.csv,0.4397694765235983
DB,kick_ret_yds,player_returns_all.csv,-0.016048585955357297
DB,kick_ret_yds_per_ret,player_returns_all.csv,-0.03028832713607171
DB,kick_ret_td,player_returns_all.csv,0.0
DB,kick_ret_long,player_returns_all.csv,0.025837856906548242
DB,punt_ret,player_returns_all.csv,-0.0047036717251192385
DB,punt_ret_yds,player_returns_all.csv,-0.011935702437707415
DB,punt_ret_yds_per_ret,player_returns_all.csv,-0.06798353236136923
DB,punt_ret_td,player_returns_all.csv,0.6759526018877149
DB,punt_ret_long,player_returns_all.csv,0.05410685570234358
DB,active,injuries_all.csv,0.0470700955968165
DB,game_status_available,injuries_all.csv,-0.0075634686171668145
DB,game_status_out,injuries_all.csv,0.04249733296611487
DB,game_status_probable,injuries_all.csv,0.07359207291605552
DB,game_status_doubtful,injuries_all.csv,0.13385575232324096
DB,game_status_injured_reserve,injuries_all.csv,0.018759953387336253
DB,game_status_questionable,injuries_all.csv,-0.020052090963558665
DB,game_status_unable_to_perform,injuries_all.csv,-0.06934906459175588
DB,game_status_suspended,injuries_all.csv,-0.13311700077565664
DB,game_status_day_to_day,injuries_all.csv,0.0
DB,game_status_reserve,injuries_all.csv,0.0
DB,game_status_unknown,injuries_all.csv,0.0
TE,off_num,snap_counts_all.csv,-0.00352004079522612
TE,off_pct,snap_counts_all.csv,0.2675817284544022
TE,def_num,snap_counts_all.csv,0.2026236680356735
TE,def_pct,snap_counts_all.csv,-0.0030436434164595547
TE,st_num,snap_counts_all.csv,-0.0037104951967485713
TE,st_pct,snap_counts_all.csv,0.09812306812155185
TE,home,game_starters_all.csv,-0.04664379632145522
TE,season,injuries_all.csv,-5.663874284499853e-06
TE,def_int,player_defense_all.csv,0.0
TE,def_int_yds,player_defense_all.csv,0.0
TE,def_int_td,player_defense_all.csv,0.0
TE,def_int_long,player_defense_all.csv,0.0
TE,pass_defended,player_defense_all.csv,0.0
TE,sacks,player_defense_all.csv,0.0
TE,tackles_combined,player_defense_all.csv,-0.005406855648826978
TE,tackles_solo,player_defense_all.csv,0.03494776617331668
TE,tackles_assists,player_defense_all.csv,-0.04035462182209805
TE,tackles_loss,player_defense_all.csv,0.0
TE,qb_hits,player_defense_all.csv,-0.01826844015319549
TE,fumbles_rec,player_defense_all.csv,0.055449547809049274
TE,fumbles_rec_yds,player_defense_all.csv,0.3331127677767318
TE,fumbles_rec_td,player_defense_all.csv,0.3995978838321372
TE,fumbles_forced,player_defense_all.csv,-0.17371482158744345
TE,pass_cmp,player_offense_all.csv,-0.00024922605218354293
TE,pass_att,player_offense_all.csv,0.0027202440448197904
TE,pass_yds,player_offense_all.csv,0.016416868817302033
TE,pass_td,player_offense_all.csv,0.0003711837621258733
TE,pass_int,player_offense_all.csv,0.0
TE,pass_sacked,player_offense_all.csv,0.0007423675242529279
TE,pass_sacked_yds,player_offense_all.csv,0.00408302138338779
TE,pass_long,player_offense_all.csv,0.016416868817313548
TE,pass_rating,player_offense_all.csv,-0.018521856283177603
TE,rush_att,player_offense_all.csv,0.0417830034561595
TE,rush_yds,player_offense_all.csv,0.03645106424191332
TE,rush_td,player_offense_all.csv,-0.061232343300231355
TE,rush_long,player_offense_all.csv,-0.05981560643348082
TE,rec_tgt,player_offense_all.csv,-0.028475703016654468
TE,rec_rec,player_offense_all.csv,0.010988819264487373
TE,rec_yds,player_offense_all.csv,0.011199152372668861
TE,rec_td,player_offense_all.csv,0.06190221405734498
TE,rec_long,player_offense_all.csv,-0.0018146942641777844
TE,fmb,player_offense_all.csv,-0.04059144865582713
TE,fmb_lost,player_offense_all.csv,0.11309416014355578
TE,scoring_xpm,player_kicking_all.csv,0.0
TE,scoring_xpa,player_kicking_all.csv,0.0
TE,scoring_fgm,player_kicking_all.csv,0.0
TE,scoring_fga,player_kicking_all.csv,0.0
TE,punt,player_kicking_all.csv,0.0
TE,punt_yds,player_kicking_all.csv,0.0
TE,punt_yds_per_punt,player_kicking_all.csv,0.0
TE,punt_long,player_kicking_all.csv,0.0
TE,kick_ret,player_returns_all.csv,0.03977275865702705
TE,kick_ret_yds,player_returns_all.csv,-0.08345784425213122
TE,kick_ret_yds_per_ret,player_returns_all.csv,-0.08322006889773348
TE,kick_ret_td,player_returns_all.csv,0.0
TE,kick_ret_long,player_returns_all.csv,0.16378144975893838
TE,punt_ret,player_returns_all.csv,0.0
TE,punt_ret_yds,player_returns_all.csv,0.0
TE,punt_ret_yds_per_ret,player_returns_all.csv,0.0
