team_id,season,event_date,rating,team_rating
sdg,2013,2013-09-29,184.03999000000002,149.89858
rav,2013,2013-09-29,129.45252,144.09543333333335
nyj,2013,2013-09-29,141.43464,158.90829333333332
den,2013,2013-09-29,176.33177,168.15810000000002
mia,2013,2013-09-30,131.25735,138.23502
nor,2013,2013-09-30,179.42731,170.12831333333335
buf,2013,2013-10-03,135.23073,144.88969666666665
cle,2013,2013-10-03,143.309,144.28796
crd,2013,2013-10-06,126.48585000000001,129.62432666666666
rai,2013,2013-10-06,133.78813,139.50731333333331
clt,2013,2013-10-06,136.32196000000002,167.16588
car,2013,2013-10-06,150.08434,149.48497
sdg,2013,2013-10-06,165.99559,173.81564000000003
sea,2013,2013-10-06,155.38555,152.90291
nwe,2013,2013-10-06,117.7615,144.20474000000002
nor,2013,2013-10-06,166.36303,171.74558666666667
oti,2013,2013-10-06,140.17229,146.6461833333333
sfo,2013,2013-10-06,119.31256,118.62593
nyg,2013,2013-10-06,145.53774,124.36393333333335
den,2013,2013-10-06,182.6827,172.25991333333334
det,2013,2013-10-06,131.06243,151.09352333333334
mia,2013,2013-10-06,121.64427,133.56439
kan,2013,2013-10-06,148.82923,161.01774333333333
rav,2013,2013-10-06,168.86658,131.2003
gnb,2013,2013-10-06,165.03921,159.03437666666665
chi,2013,2013-10-06,142.81689,147.86878666666667
ram,2013,2013-10-06,160.42097,132.04039666666668
htx,2013,2013-10-06,149.28351,165.96515666666667
phi,2013,2013-10-06,165.26844,138.66747
dal,2013,2013-10-06,170.18526,146.05769333333333
jax,2013,2013-10-06,131.655,118.73887
cin,2013,2013-10-06,154.62787,144.30491
atl,2013,2013-10-07,167.39128,164.26567333333335
nyj,2013,2013-10-07,118.9278,157.05363666666668
nyg,2013,2013-10-10,136.8731,119.21197666666667
chi,2013,2013-10-10,158.11489,143.10838666666666
phi,2013,2013-10-13,146.1997,146.31136999999998
buf,2013,2013-10-13,126.96542000000001,140.86140666666665
pit,2013,2013-10-13,161.43418,154.27463666666665
nor,2013,2013-10-13,140.33732,174.03365333333332
kan,2013,2013-10-13,111.20808,165.91977666666668
crd,2013,2013-10-13,141.30810000000002,121.66998000000001
jax,2013,2013-10-13,153.11429,120.41135666666666
was,2013,2013-10-13,167.47909,149.19428333333335
car,2013,2013-10-13,167.21715,157.36077666666668
htx,2013,2013-10-13,170.09194,158.89730666666665
nwe,2013,2013-10-13,155.60398,144.70425000000003
oti,2013,2013-10-13,115.41434000000001,149.72371666666666
min,2013,2013-10-13,118.21805,139.54656
cin,2013,2013-10-13,204.40606,138.9724
nyj,2013,2013-10-13,114.78005,146.51678666666666
rai,2013,2013-10-13,144.76271,136.33829333333333
rav,2013,2013-10-13,146.60688,141.10859666666667
sea,2013,2013-10-13,162.20734000000002,154.14244333333332
den,2013,2013-10-13,151.94821,183.42242000000002
sfo,2013,2013-10-13,163.07008,125.40095666666667
ram,2013,2013-10-13,106.30466,132.41998
det,2013,2013-10-13,158.19351,148.63846333333333
tam,2013,2013-10-13,157.72335,131.68511333333333
cle,2013,2013-10-13,141.77163000000002,148.21185
gnb,2013,2013-10-13,162.65129000000002,171.32386
dal,2013,2013-10-13,110.67368,152.89414666666667
sdg,2013,2013-10-14,174.17169,159.45407000000003
clt,2013,2013-10-14,107.345,158.04175
sea,2013,2013-10-17,136.12679,150.32766333333333
crd,2013,2013-10-17,138.99001,131.01055333333335
nyj,2013,2013-10-20,197.51701,125.04749666666665
kan,2013,2013-10-20,153.02100000000002,143.37858
buf,2013,2013-10-20,133.38488,140.35970666666668
car,2013,2013-10-20,144.30562,162.90775
was,2013,2013-10-20,178.12999000000002,155.10017333333334
pit,2013,2013-10-20,135.86005,168.08507333333333
cin,2013,2013-10-20,146.61542,163.05957333333333
den,2013,2013-10-20,155.29392,170.32089333333332
cle,2013,2013-10-20,112.90591,144.29722999999998
tam,2013,2013-10-20,166.66313,144.28155333333333
phi,2013,2013-10-20,116.30531,153.6755
dal,2013,2013-10-20,169.1342,136.80945333333332
sfo,2013,2013-10-20,160.36333000000002,143.44976
gnb,2013,2013-10-20,156.5901,161.34672333333333
det,2013,2013-10-20,176.08079,148.18164333333334
rav,2013,2013-10-20,132.96442,148.30866
oti,2013,2013-10-20,132.51698,133.55993
atl,2013,2013-10-20,114.77714999999999,167.38769666666667
nwe,2013,2013-10-20,117.48678,145.12405
ram,2013,2013-10-20,131.51964,127.83336000000001
sdg,2013,2013-10-20,180.10254,174.7357566666667
htx,2013,2013-10-20,132.06032000000002,171.48129333333335
jax,2013,2013-10-20,125.97564,129.34624666666667
mia,2013,2013-10-20,135.16022,122.81265333333333
clt,2013,2013-10-20,147.86047000000002,140.61426333333335
chi,2013,2013-10-20,133.95749,150.73834666666667
min,2013,2013-10-21,106.02195,131.2593
nyg,2013,2013-10-21,150.64102,133.6359
tam,2013,2013-10-24,127.25760000000001,155.70036666666667
car,2013,2013-10-24,154.40701,153.8690366666667
dal,2013,2013-10-27,118.14693,149.99771333333334
cle,2013,2013-10-27,127.40777,132.66218
phi,2013,2013-10-27,99.03599,142.59115
nwe,2013,2013-10-27,111.90937,130.28408666666667
den,2013,2013-10-27,168.58606,163.30827666666667
was,2013,2013-10-27,126.25307,160.59907666666666
min,2013,2013-10-27,94.03169,118.18478666666665
crd,2013,2013-10-27,127.45754000000001,135.59465333333335
mia,2013,2013-10-27,150.92552,129.35394666666667
rai,2013,2013-10-27,128.30610000000001,141.07784
det,2013,2013-10-27,206.01408,155.11224333333334
gnb,2013,2013-10-27,193.27684,161.42686666666668
sfo,2013,2013-10-27,143.51197,147.58199000000002
pit,2013,2013-10-27,138.29576,159.81332333333333
kan,2013,2013-10-27,160.56773,137.68610333333334
nor,2013,2013-10-27,161.47223,162.04255333333336
atl,2013,2013-10-27,153.80499,149.18656333333334
cin,2013,2013-10-27,145.91111,168.54978333333335
nyg,2013,2013-10-27,165.76171,144.35062000000002
